id,created_at,full_name,email,phone,lead_source,agent_assigned,last_activity,last_stage_change,stage,tags,notes,next_task_due,last_call_duration,call_count,email_count
1,2025-04-10 14:51:46,Melissa Richards,garrettdonna@munoz-torres.net,761.365.2808,Organic,Tamara Davis,2025-04-26 14:51:46,2025-05-17 14:51:46,Under Contract,"pretty, half",Police human major certainly be.,2025-05-06 14:51:46,26,5,8
2,2025-05-22 23:53:10,Ariel Rodriguez,nmarshall@martinez-carson.com,001-270-859-4567x18524,Referral,Rita Curry,2025-06-21 23:53:10,2025-06-28 23:53:10,Closed,prepare,Each really certain spring behind risk program perform.,2025-06-24 23:53:10,5,1,2
3,2025-03-10 23:20:29,David Murphy,rlane@obrien.com,(466)881-6848,Organic,Linda Macdonald,2025-03-28 23:20:29,2025-04-10 23:20:29,Active,"whose, president",And point opportunity safe.,2025-04-07 23:20:29,6,0,7
4,2025-01-16 06:11:51,Alexis Mcknight,gonzalesshawn@yahoo.com,+1-823-706-3411,Facebook,Jeffrey Bass,2025-01-31 06:11:51,2025-02-05 06:11:51,Dead,"describe, dark, media",Role ok let down.,2025-02-03 06:11:51,21,0,0
5,2025-04-24 10:14:16,Jeremy Schroeder,lisa75@phillips.com,338.490.7748x90449,Organic,Shane Delgado,2025-05-23 10:14:16,2025-06-19 10:14:16,Contacted,"enough, fill",Beautiful like production maybe force.,2025-05-28 10:14:16,15,5,10
6,2025-02-08 23:11:01,Timothy Graves,lcarpenter@yahoo.com,+1-283-567-8911x883,Instagram,Jeffrey Bass,2025-02-18 23:11:01,2025-03-11 23:11:01,Under Contract,"something, out, cost",Property catch stay coach.,2025-02-22 23:11:01,10,0,5
7,2025-03-16 19:17:24,Shannon Ritter,peter99@smith.com,(303)967-9101x259,Zillow,Melinda Lowe,2025-03-17 19:17:24,2025-03-24 19:17:24,Appointment Set,wear,Establish home board turn close.,2025-03-19 19:17:24,9,3,0
8,2025-03-25 07:31:07,Jimmy Holden,edwardwallace@lambert.org,498-212-5665x821,Facebook,Brian Harris,2025-04-09 07:31:07,2025-05-05 07:31:07,Appointment Set,"lose, or, theory",Should month top sport.,2025-04-14 07:31:07,23,0,5
9,2025-01-17 01:54:27,Victoria Hines,garciaheidi@hotmail.com,255.101.2078x89418,Zillow,Roger Davis,2025-01-31 01:54:27,2025-02-08 01:54:27,Appointment Set,"from, message, minute",Understand city will total beyond forward bad.,2025-02-03 01:54:27,1,3,10
10,2025-03-16 18:00:52,David Saunders,parkerlawrence@bauer.info,(643)008-9302x536,Referral,Brian Harris,2025-03-26 18:00:52,2025-04-10 18:00:52,Dead,"name, mean",Off democratic music public.,2025-04-01 18:00:52,24,5,6
11,2025-07-23 04:28:14,Tonya Knox,rjohnson@lewis.com,401.024.4828x08920,Zillow,Brian Harris,2025-08-01 04:28:14,2025-08-20 04:28:14,Appointment Set,"hot, general, particular",Recent serious church already.,2025-08-09 04:28:14,6,4,4
12,2025-06-20 18:57:26,Kevin Ray,sharon14@mora.com,(900)090-7881x3789,Instagram,Melinda Lowe,2025-06-30 18:57:26,2025-07-16 18:57:26,Appointment Set,"fast, agreement, kitchen",Employee by professional either lose well bring majority.,2025-07-09 18:57:26,21,4,3
13,2025-06-16 05:54:58,Laura Medina,williamsdaniel@cannon.com,549.191.5655,Organic,Rita Curry,2025-06-17 05:54:58,2025-07-14 05:54:58,Closed,put,Act spend open early just trade.,2025-06-26 05:54:58,16,3,3
14,2025-06-24 03:41:02,Zachary Mccarty,qcarlson@green.com,+1-560-974-1403,Zillow,Tamara Davis,2025-07-06 03:41:02,2025-07-21 03:41:02,Appointment Set,"glass, issue, check",Win life talk avoid.,2025-07-11 03:41:02,21,5,3
15,2025-07-02 05:58:36,Aaron Brown,fpitts@gmail.com,454.360.1311x9598,Facebook,Michelle Richardson DVM,2025-07-08 05:58:36,2025-07-09 05:58:36,New,say,Side particular well subject.,2025-07-10 05:58:36,14,3,5
16,2025-07-23 18:33:05,Cindy Cervantes,nporter@yahoo.com,001-905-197-2314x74799,Google Ads,Jeffrey Bass,2025-07-29 18:33:05,2025-08-02 18:33:05,Closed,"age, represent",Teacher consumer open sea work.,2025-07-30 18:33:05,29,5,1
17,2025-05-31 23:40:35,Kristin Williams,mhenry@hotmail.com,001-992-604-2551x0315,Referral,Michelle Richardson DVM,2025-06-18 23:40:35,2025-07-10 23:40:35,Dead,picture,Central I necessary.,2025-06-26 23:40:35,21,5,7
18,2025-05-04 17:37:31,Jose Underwood,vdiaz@stevenson.com,+1-392-762-7351x92216,Referral,Tamara Davis,2025-05-09 17:37:31,2025-05-15 17:37:31,Contacted,"line, true, make",Above peace model them cup you.,2025-05-10 17:37:31,20,4,7
19,2025-07-24 18:51:37,Kayla Roberts,smithanita@gmail.com,(854)550-0464x03044,Facebook,Shane Delgado,2025-08-18 18:51:37,2025-09-16 18:51:37,Under Contract,"only, truth",Husband much take trade prepare alone direction.,2025-08-22 18:51:37,10,3,5
20,2025-03-01 22:11:47,Monica Murray,ashleystokes@yahoo.com,084-353-2913x70916,Organic,Melinda Lowe,2025-03-17 22:11:47,2025-04-08 22:11:47,Appointment Set,"throughout, focus",Economy put peace all fund decade by.,2025-03-24 22:11:47,12,0,8
21,2025-05-28 05:28:06,Jessica Patel,buchananrebekah@gmail.com,001-356-354-1219x183,Organic,Melinda Lowe,2025-06-21 05:28:06,2025-07-21 05:28:06,Under Contract,"break, true, PM",National small seven sort ball night worker whose.,2025-06-25 05:28:06,19,2,9
22,2025-07-10 16:05:33,David Henson,michael29@yahoo.com,294-930-2546x3683,Google Ads,Brian Harris,2025-07-12 16:05:33,2025-08-11 16:05:33,New,big,Position study point two personal.,2025-07-15 16:05:33,6,2,4
23,2025-05-17 18:45:11,Travis Mendez,johnsonwilliam@gmail.com,6079553353,Instagram,Linda Macdonald,2025-05-26 18:45:11,2025-06-13 18:45:11,Contacted,resource,Event middle side civil marriage participant expert.,2025-05-28 18:45:11,3,1,5
24,2025-04-10 11:40:43,Samantha Green,kelly59@wilson.info,435-402-6662x46346,Instagram,Linda Macdonald,2025-04-20 11:40:43,2025-04-26 11:40:43,Closed,"night, international",Have place wear medical sit movie.,2025-04-26 11:40:43,1,2,0
25,2025-05-19 13:07:22,Adam Wise,elizabeth61@gmail.com,5258217303,Zillow,Shane Delgado,2025-06-07 13:07:22,2025-06-11 13:07:22,Under Contract,"region, doctor, team",Point under those mind effect enter.,2025-06-13 13:07:22,28,3,3
